ISO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country,Continent,UNregion,IncomeLevel,Region
KHM,74.40291612238516,74.40291612238516,74.40291612238516,74.40307280503775,74.40307280503775,74.40307280503775,78.41537911049011,78.77394816279323,78.88995006804299,78.88995006804299,78.88995006804299,Cambodia,Asia,South-Eastern Asia,Lower middle income,East Asia & Pacific
CMR,,,,,,,,,,,,Cameroon,Africa,Middle Africa,Lower middle income,Sub-Saharan Africa 
CAN,99.12545973710458,99.12545973710458,99.12545973710458,99.12566919141689,99.12566919141689,99.12566919141689,99.12566919141689,99.12566919141689,99.10208301558193,99.10208301558193,99.10208301558193,Canada,America,Northern America,High income,North America
CYM,,,,,,,,,,,,Cayman Islands,America,Caribbean,High income,Latin America & Caribbean 
CAF,,,,,,,,,,,,Central African Republic,Africa,Middle Africa,Low income,Sub-Saharan Africa 
TCD,,,,,,,,,,,,Chad,Africa,Middle Africa,Low income,Sub-Saharan Africa 
CHL,95.95944790189623,95.95944790189623,95.95944790189623,95.9596505981782,95.9596505981782,95.9596505981782,95.44049549869774,94.88026728399481,94.12210156285606,94.12210156285606,94.12210156285606,Chile,America,South America,High income,Latin America & Caribbean 
CHN,,,,,,,,,,,,China,Asia,Eastern Asia,Upper middle income,East Asia & Pacific
CXR,,,,,,,,,,,,Christmas Island,Asia,Australia and New Zealand,,
CCK,,,,,,,,,,,,Cocos (Keeling) Islands,Asia,Australia and New Zealand,,
COL,,,,,,,,,,,,Colombia,America,South America,Upper middle income,Latin America & Caribbean 
COM,,,,,,,,,,,,Comoros,Africa,Eastern Africa,Lower middle income,Sub-Saharan Africa 
COG,,,,,,,,,,,,Congo Republic,Africa,Middle Africa,Lower middle income,Sub-Saharan Africa 
COK,,,,,,,,,,,,Cook Islands,Oceania,Polynesia,,
CRI,92.85267804675595,92.85267804675595,92.85267804675595,92.85287411146297,92.85287411146297,92.85287411146297,92.85287411146297,92.32842413525033,91.65689126944366,91.65689126944366,91.65689126944366,Costa Rica,America,Central America,Upper middle income,Latin America & Caribbean 
CIV,,,,,,,,,,,,Cote d'Ivoire,Africa,Western Africa,Lower middle income,Sub-Saharan Africa 
HRV,99.16524686876423,99.16524686876423,99.16524686876423,99.1654564080044,99.1654564080044,99.1654564080044,99.03535372258517,98.86071355973868,98.58801720651158,98.58801720651158,98.58801720651158,Croatia,Europe,Southern Europe,High income,Europe & Central Asia
CUB,,,,,,,,,,,,Cuba,America,Caribbean,Upper middle income,Latin America & Caribbean 
CUW,,,,,,,,,,,,Curacao,America,Caribbean,High income,Latin America & Caribbean 
CYP,,,,,,,,,,,,Cyprus,Asia,Western Asia,High income,Europe & Central Asia
CZE,99.00552347102185,99.00552347102185,99.00552347102185,99.00573266932344,99.00573266932344,99.00573266932344,99.3016708939945,99.482755678235,99.38538783994116,99.38538783994116,99.38538783994116,Czech Republic,Europe,Eastern Europe,High income,Europe & Central Asia
DNK,98.55394709077838,98.55394709077838,98.55394709077838,98.5541553251648,98.5541553251648,98.5541553251648,98.4447177872203,98.31051535438844,98.2903723573164,98.2903723573164,98.2903723573164,Denmark,Europe,Northern Europe,High income,Europe & Central Asia
DJI,,,,,,,,,,,,Djibouti,Africa,Eastern Africa,Lower middle income,Middle East & North Africa
DMA,,,,,,,,,,,,Dominica,America,Caribbean,Upper middle income,Latin America & Caribbean 
DOM,,,,,,,,,,,,Dominican Republic,America,Caribbean,Upper middle income,Latin America & Caribbean 
COD,,,,,,,,,,,,DR Congo,Africa,Middle Africa,Low income,Sub-Saharan Africa 
ECU,89.25784262446615,89.25784262446615,89.25784262446615,89.25803101579477,89.25803101579477,89.25803101579477,89.25803101579477,89.25803101579477,88.96825313511489,88.96825313511489,88.96825313511489,Ecuador,America,South America,Upper middle income,Latin America & Caribbean 
EGY,87.23006044664932,87.23006044664932,87.23006044664932,87.23024450956284,87.23024450956284,87.23024450956284,87.23024450956284,86.48204817086757,87.94594763757385,87.94594763757385,87.94594763757385,Egypt,Africa,Northern Africa,Lower middle income,Middle East & North Africa
SLV,79.10884123469108,79.10884123469108,79.10884123469108,79.10900796240547,79.10900796240547,79.10900796240547,79.10900796240547,78.79471920780261,77.37391580640477,77.37391580640477,77.37391580640477,El Salvador,America,Central America,Lower middle income,Latin America & Caribbean 
GNQ,,,,,,,,,,,,Equatorial Guinea,Africa,Middle Africa,Upper middle income,Sub-Saharan Africa 
ERI,,,,,,,,,,,,Eritrea,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
EST,98.65321825349723,98.65321825349723,98.65321825349723,98.65342669978354,98.65342669978354,98.65342669978354,98.65342669978354,98.61996307883616,98.54836851379073,98.54836851379073,98.54836851379073,Estonia,Europe,Northern Europe,High income,Europe & Central Asia
SWZ,55.55481390762275,55.55481390762275,55.55481390762275,55.55493035794115,55.55493035794115,55.55493035794115,55.55493035794115,55.55493035794115,53.3211886232517,53.3211886232517,53.3211886232517,Eswatini,Africa,Southern Africa,Lower middle income,Sub-Saharan Africa 
ETH,78.01825023798251,78.01825023798251,78.01825023798251,78.0184146377691,78.0184146377691,78.0184146377691,78.0184146377691,77.62862094096536,78.03113328268905,78.03113328268905,78.03113328268905,Ethiopia,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
FRO,,,,,,,,,,,,Faeroe Islands,Europe,Northern Europe,High income,Europe & Central Asia
FLK,,,,,,,,,,,,Falkland Islands,America,South America,,
FJI,,,,,,,,,,,,Fiji,Oceania,Melanesia,Upper middle income,East Asia & Pacific
FIN,96.38777225880854,96.38777225880854,96.38777225880854,96.38797586937295,96.38797586937295,96.38797586937295,96.58093630571277,96.85596733140135,96.94837597023108,96.94837597023108,96.94837597023108,Finland,Europe,Northern Europe,High income,Europe & Central Asia
FRA,97.63427435014991,97.63427435014991,97.63427435014991,97.63448062144313,97.63448062144313,97.63448062144313,98.15968700861751,98.65835849925406,98.88901790117215,98.88901790117215,98.88901790117215,France,Europe,Western Europe,High income,Europe & Central Asia
GUF,,,,,,,,,,,,French Guiana,America,South America,,
PYF,,,,,,,,,,,,French Polynesia,Oceania,Polynesia,High income,East Asia & Pacific
ATF,,,,,,,,,,,,French Southern Territories,Africa,Eastern Africa,,
GAB,,,,,,,,,,,,Gabon,Africa,Middle Africa,Upper middle income,Sub-Saharan Africa 
GMB,64.37120356597785,64.37120356597785,64.37120356597785,64.37133883537581,64.37133883537581,64.37133883537581,64.37133883537581,64.37133883537581,61.80922488408498,61.80922488408498,61.80922488408498,Gambia,Africa,Western Africa,Low income,Sub-Saharan Africa 
GEO,89.45364674806719,89.45364674806719,89.45364674806719,89.45383555735073,89.45383555735073,89.45383555735073,89.17153542231983,88.67922534787151,88.58950868717253,88.58950868717253,88.58950868717253,Georgia,Asia,Western Asia,Upper middle income,Europe & Central Asia
DEU,98.53116404124249,98.53116404124249,98.53116404124249,98.5313722269972,98.5313722269972,98.5313722269972,98.71940086386648,98.89579590014417,98.96506819539964,98.96506819539964,98.96506819539964,Germany,Europe,Western Europe,High income,Europe & Central Asia
GHA,88.53872425813876,88.53872425813876,88.53872425813876,88.53891111446879,88.53891111446879,88.53891111446879,88.11706072110653,87.68498365154154,86.89824025421831,86.89824025421831,86.89824025421831,Ghana,Africa,Western Africa,Lower middle income,Sub-Saharan Africa 
GIB,,,,,,,,,,,,Gibraltar,Europe,Southern Europe,High income,Europe & Central Asia
GRC,95.99030940325959,95.99030940325959,95.99030940325959,95.99051216541719,95.99051216541719,95.99051216541719,95.99051216541719,95.99051216541719,96.37527213908423,96.37527213908423,96.37527213908423,Greece,Europe,Southern Europe,High income,Europe & Central Asia
GRL,,,,,,,,,,,,Greenland,America,Northern America,High income,Europe & Central Asia
GRD,,,,,,,,,,,,Grenada,America,Caribbean,Upper middle income,Latin America & Caribbean 
GLP,,,,,,,,,,,,Guadeloupe,America,Caribbean,,
GUM,,,,,,,,,,,,Guam,Oceania,Micronesia,High income,East Asia & Pacific
GTM,75.69961353800284,75.69961353800284,75.69961353800284,75.69977298852898,75.69977298852898,75.69977298852898,74.25685856613346,74.07669660326629,71.85006987978153,71.85006987978153,71.85006987978153,Guatemala,America,Central America,Upper middle income,Latin America & Caribbean 
GGY,,,,,,,,,,,,Guernsey,Europe,Northern Europe,,
GIN,33.02638688615657,33.02638688615657,33.02638688615657,33.02645524828052,33.02645524828052,33.02645524828052,28.71020789018188,24.801832450872563,22.773269150779278,22.773269150779278,22.773269150779278,Guinea,Africa,Western Africa,Low income,Sub-Saharan Africa 
GNB,,,,,,,,,,,,Guinea-Bissau,Africa,Western Africa,Low income,Sub-Saharan Africa 
GUY,,,,,,,,,,,,Guyana,America,South America,Upper middle income,Latin America & Caribbean 
HTI,,,,,,,,,,,,Haiti,America,Caribbean,Low income,Latin America & Caribbean 
HMD,,,,,,,,,,,,Heard and McDonald Islands,Asia,Australia and New Zealand,,
HND,64.8378173640425,64.8378173640425,64.8378173640425,64.83795362945384,64.83795362945384,64.83795362945384,64.83795362945384,64.83795362945384,62.82791041869346,62.82791041869346,62.82791041869346,Honduras,America,Central America,Lower middle income,Latin America & Caribbean 
HKG,,,,,,,,,,,,Hong Kong,Asia,Eastern Asia,High income,East Asia & Pacific
HUN,97.91305657913236,97.91305657913236,97.91305657913236,97.91326344550195,97.91326344550195,97.91326344550195,98.30479688751767,98.60188485685057,98.7311999463687,98.7311999463687,98.7311999463687,Hungary,Europe,Eastern Europe,High income,Europe & Central Asia
ISL,97.45954379096023,97.45954379096023,97.45954379096023,97.45974968928125,97.45974968928125,97.45974968928125,97.49253254036304,97.67384424789206,97.65259081935257,97.65259081935257,97.65259081935257,Iceland,Europe,Northern Europe,High income,Europe & Central Asia
IND,,,,,,,,,,,,India,Asia,Southern Asia,Lower middle income,South Asia
IDN,98.52099789961692,98.52099789961692,98.52099789961692,98.52120606367143,98.52120606367143,98.52120606367143,98.52120606367143,98.53592582098686,98.70655934031257,98.70655934031257,98.70655934031257,Indonesia,Asia,South-Eastern Asia,Upper middle income,East Asia & Pacific
IRN,85.58400780996088,85.58400780996088,85.58400780996088,85.58418835928248,85.58418835928248,85.58418835928248,85.91395328216255,86.78122383445489,87.12707473505115,87.12707473505115,87.12707473505115,Iran,Asia,Southern Asia,Upper middle income,Middle East & North Africa
IRQ,,,,,,,,,,,,Iraq,Asia,Western Asia,Upper middle income,Middle East & North Africa
IRL,94.78448700660749,94.78448700660749,94.78448700660749,94.78468719486936,94.78468719486936,94.78468719486936,94.78468719486936,94.78468719486936,94.58370121388634,94.58370121388634,94.58370121388634,Ireland,Europe,Northern Europe,High income,Europe & Central Asia
IMN,,,,,,,,,,,,Isle of Man,Europe,Northern Europe,High income,Europe & Central Asia
ISR,97.98782007900382,97.98782007900382,97.98782007900382,97.9880271049603,97.9880271049603,97.9880271049603,97.87992085030845,97.76801741262867,97.58886082815316,97.58886082815316,97.58886082815316,Israel,Asia,Western Asia,High income,Middle East & North Africa
ITA,98.16274730462375,98.16274730462375,98.16274730462375,98.16295470397223,98.16295470397223,98.16295470397223,98.22816489298381,98.2933750819954,98.33353225871865,98.33353225871865,98.33353225871865,Italy,Europe,Southern Europe,High income,Europe & Central Asia
JAM,,,,,,,,,,,,Jamaica,America,Caribbean,Upper middle income,Latin America & Caribbean 
JPN,99.44678242777029,99.44678242777029,99.44678242777029,99.44699256796395,99.44699256796395,99.44699256796395,99.4285815251552,99.17240026063317,98.90094979616025,98.90094979616025,98.90094979616025,Japan,Asia,Eastern Asia,High income,East Asia & Pacific
JEY,,,,,,,,,,,,Jersey,Europe,Northern Europe,,
JOR,,,,,,,,,,,,Jordan,Asia,Western Asia,Upper middle income,Middle East & North Africa
KAZ,,,,99.9067542787286,99.9067542787286,99.9067542787286,99.9067542787286,99.9067542787286,99.90423883606402,99.90423883606402,99.90423883606402,Kazakhstan,Asia,Central Asia,Upper middle income,Europe & Central Asia
KEN,71.05719655448293,71.05719655448293,71.05719655448293,71.05734609550893,71.05734609550893,71.05734609550893,71.05734609550893,71.05734609550893,70.2765823008699,70.2765823008699,70.2765823008699,Kenya,Africa,Eastern Africa,Lower middle income,Sub-Saharan Africa 
KIR,,,,,,,,,,,,Kiribati,Oceania,Micronesia,Lower middle income,East Asia & Pacific
XKX,,,,,,,,,,,,Kosovo,Europe,Southern Europe,Upper middle income,Europe & Central Asia
KWT,92.61601269022233,92.61601269022233,92.61601269022233,92.61620824975384,92.61620824975384,92.61620824975384,92.61216901521814,92.60812978068245,92.40872494426634,92.40872494426634,92.40872494426634,Kuwait,Asia,Western Asia,High income,Middle East & North Africa
KGZ,,,98.72090176187945,98.72111035264,98.72111035264,98.72111035264,98.72111035264,98.72111035264,98.68661070337934,98.68661070337934,98.68661070337934,Kyrgyz Republic,Asia,Central Asia,Lower middle income,Europe & Central Asia
LAO,,,,,,,,,,,,Laos,Asia,South-Eastern Asia,Lower middle income,East Asia & Pacific
LVA,99.09290387880363,99.09290387880363,99.09290387880363,99.09311326362362,99.09311326362362,99.09311326362362,99.09311326362362,99.08930851648606,99.06083408173639,99.06083408173639,99.06083408173639,Latvia,Europe,Northern Europe,High income,Europe & Central Asia
LBN,,,,,,,,,,,,Lebanon,Asia,Western Asia,Upper middle income,Middle East & North Africa
LSO,,,,59.15287473855247,59.15287473855247,59.15287473855247,59.15287473855247,59.15287473855247,58.05097315294597,58.05097315294597,58.05097315294597,Lesotho,Africa,Southern Africa,Lower middle income,Sub-Saharan Africa 
LBR,4.541871639802967,4.541871639802967,4.541871639802967,4.541879200127173,4.541879200127173,4.541879200127173,5.516771904055836,6.084881920980105,6.163077002771022,6.163077002771022,6.163077002771022,Liberia,Africa,Western Africa,Low income,Sub-Saharan Africa 
LBY,83.08284953451596,83.08284953451596,83.08284953451596,83.08302474497457,83.08302474497457,83.08302474497457,81.2067473543791,78.33417082963773,73.90600685330936,73.90600685330936,73.90600685330936,Libya,Africa,Northern Africa,Upper middle income,Middle East & North Africa
LIE,,,,,,,,,,,,Liechtenstein,Europe,Western Europe,High income,Europe & Central Asia
LTU,96.23647526119329,96.23647526119329,96.23647526119329,96.23667854880577,96.23667854880577,96.23667854880577,97.0318631364443,97.62289240550929,98.3122630344495,98.3122630344495,98.3122630344495,Lithuania,Europe,Northern Europe,High income,Europe & Central Asia
LUX,97.30848884433608,97.30848884433608,97.30848884433608,97.30869442022183,97.30869442022183,97.30869442022183,97.92513909760125,98.60621152755174,98.57133119711416,98.57133119711416,98.57133119711416,Luxembourg,Europe,Western Europe,High income,Europe & Central Asia
MAC,,,,,,,,,,,,Macao,Asia,Eastern Asia,High income,East Asia & Pacific
MKD,94.58420493967137,94.58420493967137,94.58420493967137,94.58440470041991,94.58440470041991,94.58440470041991,94.88723382895243,95.3370487355702,95.0603089515813,95.0603089515813,95.0603089515813,Macedonia,Europe,Southern Europe,Upper middle income,Europe & Central Asia
MDG,,,,,,,,,,,,Madagascar,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
MWI,21.77490374473588,21.77490374473588,21.77490374473588,21.774948089936288,21.774948089936288,21.774948089936288,21.732740358271204,21.690502370167653,19.53461415919989,19.53461415919989,19.53461415919989,Malawi,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
MYS,88.18890006327277,88.18890006327277,88.18890006327277,88.18908617288339,88.18908617288339,88.18908617288339,89.82046795050599,89.82046795050599,89.54586249952548,89.54586249952548,89.54586249952548,Malaysia,Asia,South-Eastern Asia,Upper middle income,East Asia & Pacific
MDV,,,,,,,,,,,,Maldives,Asia,Southern Asia,Upper middle income,South Asia
MLI,,,,,,,,,,,,Mali,Africa,Western Africa,Low income,Sub-Saharan Africa 
MLT,97.72111014320174,97.72111014320174,97.72111014320174,97.72131659985087,97.72131659985087,97.72131659985087,97.92539627732826,98.43686624143743,98.77496576431331,98.77496576431331,98.77496576431331,Malta,Europe,Southern Europe,High income,Middle East & North Africa
MHL,,,,,,,,,,,,Marshall Islands,Oceania,Micronesia,Upper middle income,East Asia & Pacific
MTQ,,,,,,,,,,,,Martinique,America,Caribbean,,
MRT,78.48441019043887,78.48441019043887,78.48441019043887,78.48457558527008,78.48457558527008,78.48457558527008,71.70982619110565,66.56648883100229,65.13124777736505,65.13124777736505,65.13124777736505,Mauritania,Africa,Western Africa,Lower middle income,Sub-Saharan Africa 
MUS,92.13428583340183,92.13428583340183,92.13428583340183,92.13448036466025,92.13448036466025,92.13448036466025,91.0729029645162,90.54374811212153,89.64893045701379,89.64893045701379,89.64893045701379,Mauritius,Africa,Eastern Africa,High income,Sub-Saharan Africa 
MYT,,,,,,,,,,,,Mayotte,Africa,Eastern Africa,,
MEX,87.92094961614139,87.92094961614139,87.92094961614139,87.9211351537967,87.9211351537967,87.9211351537967,87.05256357465016,84.82910868083539,82.06203192157032,82.06203192157032,82.06203192157032,Mexico,America,Central America,Upper middle income,Latin America & Caribbean 
FSM,,,,,,,,,,,,"Micronesia, Fed. Sts.",Oceania,Micronesia,Lower middle income,East Asia & Pacific
MDA,97.52187192116469,97.52187192116469,97.52187192116469,97.5220779525286,97.5220779525286,97.5220779525286,96.71575899553326,95.64711671700657,93.80049970575512,93.80049970575512,93.80049970575512,Moldova,Europe,Eastern Europe,Lower middle income,Europe & Central Asia
MCO,,,,,,,,,,,,Monaco,Europe,Western Europe,High income,Europe & Central Asia
MNG,94.79613571055347,94.79613571055347,94.79613571055347,94.79633592368016,94.79633592368016,94.79633592368016,92.2104996663151,91.1383778973644,90.884829303899,90.884829303899,90.884829303899,Mongolia,Asia,Eastern Asia,Lower middle income,East Asia & Pacific
MNE,96.75478207404157,96.75478207404157,96.75478207404157,96.75498646800908,96.75498646800908,96.75498646800908,96.71394360922508,96.6570841972311,96.50851163311793,96.50851163311793,96.50851163311793,Montenegro,Europe,Southern Europe,Upper middle income,Europe & Central Asia
MSR,,,,,,,,,,,,Montserrat,America,Caribbean,,
MAR,,,,,,,,,,,,Morocco,Africa,Northern Africa,Lower middle income,Middle East & North Africa
MOZ,38.47855520397837,38.47855520397837,38.47855520397837,38.478635204062215,38.478635204062215,38.478635204062215,38.478635204062215,38.478635204062215,36.819020519321825,36.819020519321825,36.819020519321825,Mozambique,Africa,Eastern Africa,Low income,Sub-Saharan Africa 
MMR,,,,,,,,,,,,Myanmar,Asia,Eastern Asia,Lower middle income,East Asia & Pacific
NAM,53.7773578391489,53.7773578391489,53.7773578391489,53.77747049538736,53.77747049538736,53.77747049538736,53.41195759045548,53.04358545208821,51.39665785780888,51.39665785780888,51.39665785780888,Namibia,Africa,Southern Africa,Upper middle income,Sub-Saharan Africa 
NRU,,,,,,,,,,,,Nauru,Oceania,Polynesia,High income,East Asia & Pacific
NPL,84.21200227974181,84.21200227974181,84.21200227974181,84.21217990044045,84.21217990044045,84.21217990044045,84.29048356319976,84.36878722595904,83.94711596647308,83.94711596647308,83.94711596647308,Nepal,Asia,Southern Asia,Lower middle income,South Asia
NLD,97.66990123040027,97.66990123040027,97.66990123040027,97.67010757774108,97.67010757774108,97.67010757774108,97.67010757774108,97.55784106279967,97.37666574775292,97.37666574775292,97.37666574775292,Netherlands,Europe,Western Europe,High income,Europe & Central Asia
NCL,,,,,,,,,,,,New Caledonia,Oceania,Melanesia,High income,East Asia & Pacific
NZL,95.77874170886413,95.77874170886413,95.77874170886413,95.77894401941857,95.77894401941857,95.77894401941857,95.06642002167897,93.68592463184619,93.06541418561623,93.06541418561623,93.06541418561623,New Zealand,Oceania,Australia and New Zealand,High income,East Asia & Pacific
NIC,,,,,,,,,,,,Nicaragua,America,Central America,Lower middle income,Latin America & Caribbean 
NER,,,,,,,,,,,,Niger,Africa,Western Africa,Low income,Sub-Saharan Africa 
NGA,90.11473338928188,90.11473338928188,90.11473338928188,90.11492360969204,90.11492360969204,90.11492360969204,88.93856841021362,87.6694015857297,85.88381167172798,85.88381167172798,85.88381167172798,Nigeria,Africa,Western Africa,Lower middle income,Sub-Saharan Africa 
NIU,,,,,,,,,,,,Niue,Oceania,Polynesia,,
NFK,,,,,,,,,,,,Norfolk Island,Oceania,Australia and New Zealand,,
PRK,,,,,,,,,,,,North Korea,Asia,Eastern Asia,Low income,East Asia & Pacific
MNP,,,,,,,,,,,,Northern Mariana Islands,Oceania,Micronesia,High income,East Asia & Pacific
NOR,98.27881075484916,98.27881075484916,98.27881075484916,98.27901840194158,98.27901840194158,98.27901840194158,98.27901840194158,98.27354198657858,98.2213444804517,98.2213444804517,98.2213444804517,Norway,Europe,Northern Europe,High income,Europe & Central Asia
OMN,,,,,,,,,,,,Oman,Asia,Western Asia,High income,Middle East & North Africa
PAK,,,,,,,,,,,,Pakistan,Asia,Southern Asia,Lower middle income,South Asia
PLW,,,,,,,,,,,,Palau,Oceania,Micronesia,High income,East Asia & Pacific
PSE,,,93.30519237458986,93.30538940521416,93.30538940521416,93.30538940521416,93.30538940521416,93.30538940521416,93.12479400676793,93.12479400676793,93.12479400676793,Palestine,Asia,Western Asia,Lower middle income,Middle East & North Africa
PAN,,,,,,,,,,,,Panama,America,Central America,High income,Latin America & Caribbean 
PNG,,,,,,,,,,,,Papua New Guinea,Oceania,Melanesia,Lower middle income,East Asia & Pacific
PRY,,,,,,,,,,,,Paraguay,America,South America,Upper middle income,Latin America & Caribbean 
PER,86.38633120447383,86.38633120447383,86.38633120447383,86.38651346639985,86.38651346639985,86.38651346639985,86.38651346639985,86.38651346639985,86.01927285975036,86.01927285975036,86.01927285975036,Peru,America,South America,Upper middle income,Latin America & Caribbean 
